FID;the_geom;NFDBFIREID;SRC_AGENCY;NAT_PARK;FIRE_ID;FIRENAME;LATITUDE;LONGITUDE;YEAR;MONTH;DAY;REP_DATE;OUT_DATE;SIZE_HA;CAUSE;FIRE_TYPE;RESPONSE;PROTZONE;MORE_INFO
NFDB_point.92;POINT (-1993468.2298114705 921121.8477369966);BC-2023-2023-VA2752;BC;;2023-VA2752;LLTYSUKO LAKE;52.8213;-126.1975;2023;8;14;2023-08-14T00:00:00;2023-11-10T00:00:00;330;N;Fire;MON;;Lltysuko Lake - MONITOR ONLY
NFDB_point.661;POINT (-1633166.2657733592 2515097.8398785507);YT-2023-2023OC031;YT;;2023OC031;;67.015282;-136.476263;2023;8;14;2023-08-14T00:00:00;2023-10-19T00:00:00;8833.09;U;;;Wilderness (forested);11kms west of 460km on the Dempster Highway
NFDB_point.684;POINT (-1723037.2118095183 2632126.60233323);YT-2023-2023OC029;YT;;2023OC029;;67.335411;-139.888516;2023;8;14;2023-08-14T00:00:00;2023-10-19T00:00:00;3618.86;N;;;Wilderness (forested);26 km SW of Old Crow
NFDB_point.686;POINT (-1610535.105414019 2558848.0788550177);YT-2023-2023OC030;YT;;2023OC030;;67.463174;-136.682325;2023;8;14;2023-08-14T00:00:00;2023-10-19T00:00:00;475;U;;;Wilderness (forested);15kms N/NE of Moses Hill
NFDB_point.185;POINT (-1862927.4930918138 402312.33069849946);BC-2023-2023-V12722;BC;;2023-V12722;MASELPANIK CREEK;49.1089;-121.2662;2023;8;13;2023-08-13T00:00:00;2023-12-06T00:00:00;1517.7;N;Fire;MON;;1km W of Maselpanik Creek - MONITOR ONLY
NFDB_point.716;POINT (-1288444.2335676474 1621940.5204462465);NT-2023-FS028-23;NT;;FS028-23;;61.434667;-120.5569;2023;8;13;2023-08-13T00:00:00;;328;H;;MOD;;
NFDB_point.315;POINT (-353764.78433663625 1067244.7538733995);MB-2023-NO123;MB;;NO123;;58.575;-101.253;2023;8;12;2023-08-12T00:00:00;;230;N;;MON;;
NFDB_point.314;POINT (90308.99265908895 907375.706106259);MB-2023-NO121;MB;;NO121;;57.2531;-93.4672;2023;8;11;2023-08-11T00:00:00;;333;N;;MON;;
NFDB_point.717;POINT (-423424.7286262066 1532211.1853182372);NT-2023-ZF097-23;NT;;ZF097-23;;62.767217;-103.574433;2023;8;10;2023-08-10T00:00:00;2023-10-01T00:00:00;517.2;N;;MON;;
NFDB_point.890;POINT (-766366.8755658766 1566861.4270014572);PC-2023-2023TH5;PC;PC-TH;2023TH5;;62.4854;-110.4762;2023;8;10;2023-08-10T00:00:00;;314;U;;FUL;;
NFDB_point.125;POINT (-1856057.1515165875 551730.0274156332);BC-2023-2023-K72705;BC;;2023-K72705;Cottonwood Creek;50.3647;-122.0244;2023;8;9;2023-08-09T00:00:00;2023-10-20T00:00:00;1015.5;N;Fire;MON;;Cottonwood Creek
NFDB_point.355;POINT (-347407.83823578584 873873.8462678832);MB-2023-NO117;MB;;NO117;;56.8086;-100.829;2023;8;9;2023-08-09T00:00:00;;853;N;;FUL;;
NFDB_point.718;POINT (-945729.8436531465 1338678.3172266441);NT-2023-SS069-23;NT;;SS069-23;;60.019783;-112.673983;2023;8;9;2023-08-09T00:00:00;;43000;N;;FUL;;
NFDB_point.605;POINT (-1700711.1377911242 2150237.7956841714);YT-2023-2023MA049;YT;;2023MA049;;63.911283;-132.949933;2023;8;8;2023-08-08T00:00:00;2023-10-27T00:00:00;990.27;U;;;Wilderness (forested);Lansing River
NFDB_point.639;POINT (-1990659.9077894532 2297742.937804008);YT-2023-2023DA057;YT;;2023DA057;;63.376267;-139.616783;2023;8;8;2023-08-08T00:00:00;2023-10-13T00:00:00;1790.01;N;;;Wilderness (forested);CHRIS CREEK
NFDB_point.642;POINT (-1728135.7819261672 2216602.2913184785);YT-2023-2023MA048;YT;;2023MA048;;64.271108;-134.2267;2023;8;8;2023-08-08T00:00:00;2023-10-27T00:00:00;557.89;U;;;Wilderness (forested);Kathleen Lakes
NFDB_point.658;POINT (-1713433.6936366144 2359768.39625447);YT-2023-2023MA050;YT;;2023MA050;;65.422167;-135.799633;2023;8;8;2023-08-08T00:00:00;2023-10-27T00:00:00;7117.23;U;;;Wilderness (forested);South of Hungry Creek
NFDB_point.671;POINT (-1934317.4755568423 2416819.9072879776);YT-2023-2023DA058;YT;;2023DA058;;64.552581;-140.343781;2023;8;8;2023-08-08T00:00:00;2023-10-13T00:00:00;421.54;U;;;Wilderness (forested);SHELL CREEK
NFDB_point.719;POINT (-1372553.621528123 1857336.3713925444);NT-2023-FS027-23;NT;;FS027-23;;63.091667;-124.0185;2023;8;8;2023-08-08T00:00:00;2023-09-07T00:00:00;760;N;;MON;;
NFDB_point.54;POINT (-1702757.167072313 1645991.8715274115);BC-2023-2023-G92594;BC;;2023-G92594;2023 Holdover G92594;59.9374;-127.762;2023;8;7;2023-08-07T00:00:00;;316.5;N;Fire;;;Liard river
NFDB_point.666;POINT (-1835114.2171799191 2146151.138115327);YT-2023-2023MA047;YT;;2023MA047;;63.1636;-135.178983;2023;8;7;2023-08-07T00:00:00;2023-10-27T00:00:00;479;U;;;Wilderness (forested);Nogold Plateau
NFDB_point.720;POINT (-1174550.184654474 1920755.3833663766);NT-2023-VQ046-23;NT;;VQ046-23;;64.390683;-120.814217;2023;8;7;2023-08-07T00:00:00;2023-09-06T00:00:00;6290;N;;MON;;
NFDB_point.721;POINT (-998946.2871267181 2007108.1309728632);NT-2023-VQ044-23;NT;;VQ044-23;;65.73945;-117.95255;2023;8;7;2023-08-07T00:00:00;2023-09-06T00:00:00;1089;N;;MON;;
NFDB_point.722;POINT (-896897.2496567906 1623404.743666077);NT-2023-ZF093-23;NT;;ZF093-23;;62.673333;-113.3007;2023;8;7;2023-08-07T00:00:00;2023-10-01T00:00:00;513;N;;MON;;
NFDB_point.31;POINT (-1399225.5202879093 350677.9639071394);BC-2023-2023-N12546;BC;;2023-N12546;Mount Bingay;50.1617;-114.995;2023;8;6;2023-08-06T00:00:00;2023-10-25T00:00:00;2512;N;Fire;MOD;;Mount Bingay
NFDB_point.123;POINT (-1520542.3189046397 383629.5497362744);BC-2023-2023-N72730;BC;;2023-N72730;Carney Creek;50.0903;-116.757;2023;8;6;2023-08-06T00:00:00;2023-09-29T00:00:00;463;N;Fire;MOD;;Carney Creek
NFDB_point.157;POINT (-1432902.1434613916 250221.2754148217);BC-2023-2023-N12589;BC;;2023-N12589;Raymond Peak;49.2067;-115.0082;2023;8;6;2023-08-06T00:00:00;2023-10-25T00:00:00;1909;N;Fire;MON;;Raymond Peak
NFDB_point.176;POINT (-1536163.8069166462 413364.5171701927);BC-2023-2023-N72601;BC;;2023-N72601;;50.2953;-117.1051;2023;8;6;2023-08-06T00:00:00;2023-10-04T00:00:00;228;N;Fire;MON;;Meadow Creek
NFDB_point.178;POINT (-1509789.815473125 383663.9058123138);BC-2023-2023-N72824;BC;;2023-N72824;Lillian Creek;50.123;-116.6149;2023;8;6;2023-08-06T00:00:00;2023-09-29T00:00:00;383;N;Fire;MOD;;Lillian Creek
NFDB_point.191;POINT (-1543454.9059596045 400300.4990998162);BC-2023-2023-N72833;BC;;2023-N72833;;50.1619;-117.139;2023;8;6;2023-08-06T00:00:00;2023-10-04T00:00:00;366;N;Fire;MOD;;Mount Cooper
NFDB_point.620;POINT (-1911539.237012415 1994306.8367541772);YT-2023-2023XY024;YT;;2023XY024;;61.6115;-134.6355;2023;8;6;2023-08-06T00:00:00;2023-11-27T00:00:00;221.1;U;;;Wilderness (forested);Semenof Hills
NFDB_point.630;POINT (-1707852.1336994474 1966059.3385390867);YT-2023-2023RR013;YT;;2023RR013;;62.450667;-131.000833;2023;8;6;2023-08-06T00:00:00;2023-09-29T00:00:00;382.75;U;;;Wilderness (forested);
NFDB_point.644;POINT (-1927266.374731718 1892373.7217048928);YT-2023-2023TE001;YT;;2023TE001;;60.7585;-133.753167;2023;8;6;2023-08-06T00:00:00;2023-11-27T00:00:00;636.06;U;;;Wilderness (forested);100 Mile Creek
NFDB_point.104;POINT (-1967441.0559094877 1749081.4686236857);BC-2023-2023-R92525;BC;;2023-R92525;ANGEL LAKE;59.4578;-132.8638;2023;8;5;2023-08-05T00:00:00;2023-11-21T00:00:00;1171.95;N;Fire;MOD;;Radnor Creek
NFDB_point.296;POINT (-451687.97858364874 953788.1355488282);SK-2023-23LA-FORD;SK;;23LA-FORD;;57.437417;-102.725867;2023;8;5;2023-08-05T00:00:00;2023-08-18T00:00:00;250;N;;;;
NFDB_point.297;POINT (-484493.8878744726 980614.0583764478);SK-2023-23LA-CAIRNS;SK;;23LA-CAIRNS;;57.6443;-103.340667;2023;8;5;2023-08-05T00:00:00;2023-08-31T00:00:00;564.9;N;;;;
NFDB_point.354;POINT (-8652.48955225482 440157.80340168346);MB-2023-NO115;MB;;NO115;;52.9847;-95.1306;2023;8;5;2023-08-05T00:00:00;;239.2;N;;MON;;
NFDB_point.629;POINT (-1705901.2659448416 2349695.109663526);YT-2023-2023MA040;YT;;2023MA040;;65.388967;-135.532033;2023;8;5;2023-08-05T00:00:00;2023-10-27T00:00:00;2162.31;U;;;Wilderness (forested);West of confluence Little Wind River and Wind Rive
NFDB_point.638;POINT (-1691339.472512964 2361252.887857909);YT-2023-2023MA039;YT;;2023MA039;;65.554983;-135.424267;2023;8;5;2023-08-05T00:00:00;2023-10-25T00:00:00;5410.66;U;;;Wilderness (forested);Wind River - South of Hungry Creek
NFDB_point.641;POINT (-1703024.5893894213 2298688.0361963236);YT-2023-2023MA044;YT;;2023MA044;;65.023871;-134.817319;2023;8;5;2023-08-05T00:00:00;2023-10-27T00:00:00;557.3;U;;;Wilderness (forested);Upper Wind River - South of Royal Creek
NFDB_point.652;POINT (-1625688.622334298 2295308.6079630447);YT-2023-2023MA043;YT;;2023MA043;;65.410933;-133.381767;2023;8;5;2023-08-05T00:00:00;2023-10-27T00:00:00;1999.97;U;;;Wilderness (forested);Snake River
NFDB_point.653;POINT (-1700809.2308528703 2384719.535449039);YT-2023-2023MA042;YT;;2023MA042;;65.676892;-135.907609;2023;8;5;2023-08-05T00:00:00;2023-10-25T00:00:00;3831.65;U;;;Wilderness (forested);Hungry Lake
NFDB_point.664;POINT (-1669154.9422940125 2362487.0419693217);YT-2023-2023MA038;YT;;2023MA038;;65.685483;-135.040167;2023;8;5;2023-08-05T00:00:00;2023-10-25T00:00:00;11651.05;U;;;Wilderness (forested);East of Wind River
NFDB_point.670;POINT (-1760307.650234793 2227779.855191633);YT-2023-2023MA045;YT;;2023MA045;;64.181663;-134.920768;2023;8;5;2023-08-05T00:00:00;2023-10-27T00:00:00;6021.66;U;;;Transitional;North of Clark Lakes
NFDB_point.677;POINT (-1695294.8480996238 2380728.5484838756);YT-2023-2023MA041;YT;;2023MA041;;65.677865;-135.754957;2023;8;5;2023-08-05T00:00:00;2023-10-25T00:00:00;1399.02;U;;;Wilderness (forested);Mount Deception
NFDB_point.723;POINT (-1237848.9426531824 1843418.0811771066);NT-2023-FS025-23;NT;;FS025-23;;63.500833;-121.386333;2023;8;5;2023-08-05T00:00:00;2023-09-07T00:00:00;12000;N;;MON;;
NFDB_point.193;POINT (-1413224.7501009123 394174.1736202361);BC-2023-2023-N22508;BC;;2023-N22508;Schofield Creek;50.4956;-115.3742;2023;8;4;2023-08-04T00:00:00;2023-10-24T00:00:00;711;N;Fire;MOD;;Schofield Creek
NFDB_point.362;POINT (12257.613293136603 365631.07989055384);ON-2023-RED70;ON;;RED70;;52.3064;-94.8182;2023;8;4;2023-08-04T00:00:00;2023-10-05T00:00:00;1178.8;N;IFR;MNP;;
NFDB_point.695;POINT (-1614999.358167145 2691698.5053787613);YT-2023-2023OC027;YT;;2023OC027;;68.397133;-138.79745;2023;8;4;2023-08-04T00:00:00;2023-10-19T00:00:00;549.79;N;;;Wilderness (forested);Upper Black Fox Creek
NFDB_point.696;POINT (-1996043.3329936417 2347307.0497776694);YT-2023-2023DA055;YT;;2023DA055;;63.692483;-140.369462;2023;8;4;2023-08-04T00:00:00;2023-10-13T00:00:00;375.84;N;;;Wilderness (forested);Matson Creek
NFDB_point.724;POINT (-1236255.5431209852 1435585.7406176114);NT-2023-SS067-23;NT;;SS067-23;;60.018817;-118.325867;2023;8;4;2023-08-04T00:00:00;;430000;N;;MON;;
NFDB_point.151;POINT (-2120781.3611053345 606833.9950754568);BC-2023-2023-V82558;BC;;2023-V82558;MOUNT CON REID;49.7641;-125.7;2023;8;3;2023-08-03T00:00:00;2023-11-10T00:00:00;2320;N;Fire;MON;;3km W of Wolf River - MONITOR ONLY
NFDB_point.357;POINT (891473.3719046011 214968.30869567487);ON-2023-HEA18;ON;;HEA18;;50.1384;-82.3944;2023;8;3;2023-08-03T00:00:00;2023-10-31T00:00:00;1607.5;N;IFR;MOD;;
NFDB_point.663;POINT (-1872665.1606065815 2307084.348091263);YT-2023-2023DA052;YT;;2023DA052;;64.135967;-137.834833;2023;8;3;2023-08-03T00:00:00;2023-10-13T00:00:00;926.62;N;;;Wilderness (forested);Aussie Creek
NFDB_point.690;POINT (-1851532.4457122383 2241603.6162541592);YT-2023-2023MA036;YT;;2023MA036;;63.7793;-136.635117;2023;8;3;2023-08-03T00:00:00;2023-10-27T00:00:00;2794.87;U;;;Transitional;Boulder Creek
