province,fire_id,latitude,longitude,year,size_ha,cause
Saskatchewan,15LF-DOWD,54.671,-104.850233,2015,1723.484799,Natural
Saskatchewan,15LX-SUDDEN,54.830783,-107.9642,2015,5031.829728,Natural
Saskatchewan,15DB-VANCE,54.880483,-103.7008,2015,27164.75274,Natural
Saskatchewan,15WY-WEYAK,54.39925,-105.963583,2015,229.0,Natural
Saskatchewan,15BN-KODA,58.525,-109.616667,2015,10748.96482,Natural
Saskatchewan,15BN-CINDY,56.45,-107.933333,2015,26605.9747,Natural
Saskatchewan,15LF-NIPEK,54.417017,-105.05375,2015,391.909583,Natural
Saskatchewan,15LA-EMMEL,54.9578,-106.588983,2015,15328.0,Natural
Saskatchewan,15LX-CARRAG,54.999717,-106.846533,2015,18926.78639,Natural
Saskatchewan,15WY-MLIR13,54.065267,-105.88285,2015,4171.847707,Natural
Saskatchewan,15LX-PHANE,55.2647,-106.911217,2015,500.0,Natural
Saskatchewan,15LX-GILBERT,55.169233,-106.67825,2015,2732.328201,Natural
Manitoba,NW025,55.765,-100.17,2015,2172.4,Natural
Manitoba,NW016,53.523889,-101.085,2015,8500.0,Natural
Yukon,2015OC013,66.4105,-139.353833,2015,600.0,Natural
Yukon,2015DA035,64.733833,-138.040833,2015,600.0,Natural
Yukon,2015DA036,63.601117,-138.13915,2015,500.0,Natural
Yukon,2015BC005,62.3951,-139.22915,2015,405.0,Natural
Yukon,2015CA015,62.746667,-135.3575,2015,515.0,Natural
Northwest Territories,FS039-15,62.088166,-122.970833,2015,5993.8,Natural
Northwest Territories,FS042-15,60.415,-120.53,2015,5592.5,Natural
Northwest Territories,SS036-15,60.656166,-114.0865,2015,1090.5,Natural
Northwest Territories,2015NA7,61.3833,-123.75,2015,1173.0,Natural
Northwest Territories,2015WB20,60.1793,-113.6485,2015,14554.3,Natural
Alberta,2015WB22,59.5146,-113.7297,2015,3297.0,Natural
Northwest Territories,2015WB21,60.2833,-113.9167,2015,559.2,Natural
Ontario,NIP24,52.1924,-88.2266,2015,529.0,Natural
