province,fire_id,latitude,longitude,year,size_ha,cause,size
Northwest Territories,EV002-18,67.039,-131.34,2018,254.4,Natural,Very small
Northwest Territories,FS013-18,62.020833,-123.956666,2018,3600.9,Natural,Very small
Yukon,2018WL007,60.63226667,-129.9377333,2018,8394.0,Natural,Very small
British Columbia,2018-C31691,52.501,-120.72,2018,233.0,Natural,Very small
British Columbia,2018-C31692,52.5427,-120.6375,2018,200.0,Natural,Very small
Yukon,2018MA002,63.77173333,-134.9081,2018,4157.0,Human,Very small
Ontario,NIP45,53.3761,-87.9688,2018,315.3999939,Natural,Very small
Quebec,20181080504,51.8486,-63.6404,2018,710.5,Natural,Very small
Northwest Territories,ZF003-18,63.118333,-112.693333,2018,715.8,Natural,Very small
Ontario,NIP53,52.1212,-88.9638,2018,347.5,Natural,Very small
British Columbia,2018-C31689,52.4966,-120.8532,2018,522.0,Natural,Very small
Ontario,COC20,50.5026,-81.2319,2018,895.0,Natural,Very small
British Columbia,2018-G31313,52.739,-119.5326,2018,334.0,Natural,Very small
Ontario,PEM6,46.1266,-78.0632,2018,697.0,Natural,Very small
Ontario,PAR33,45.8646,-80.694,2018,11362.5,Human,Very small
British Columbia,2018-G41250,54.1448,-124.4633,2018,373.1,Natural,Very small
British Columbia,2018-N51329,49.8523,-117.2228,2018,2363.0,Natural,Very small
British Columbia,2018-N51446,50.7957,-117.6569,2018,227.0,Natural,Very small
British Columbia,2018-K51242,49.7537,-119.6889,2018,1370.3,Natural,Very small
British Columbia,2018-K51264,49.7135,-119.7646,2018,1790.0,Natural,Very small
British Columbia,2018-K51238,49.0846,-119.8695,2018,19226.0,Natural,Very small
British Columbia,2018-K61241,49.1286,-120.3662,2018,2372.0,Natural,Very small
Ontario,HEA13,50.1004,-85.1409,2018,927.0,Natural,Very small
Ontario,RED96,51.0119,-94.8339,2018,2152.300049,Natural,Very small
Ontario,RED97,51.1192,-94.7553,2018,17256.09961,Natural,Very small
Ontario,COC14,49.8678,-80.8196,2018,4899.0,Natural,Very small
Ontario,HEA12,50.0503,-81.9863,2018,487.0,Natural,Very small
Manitoba,MB2018EA096,51.30416667,-95.64194444,2018,60132.0,Natural,Small
Ontario,SLK68,52.0376,-89.6552,2018,468.0,Natural,Very small
Ontario,RED76,51.1542,-94.9997,2018,8239.700195,Natural,Very small
Ontario,RED103,50.9683,-94.6751,2018,504.2000122,Natural,Very small
Ontario,RED80,51.1229,-94.744,2018,320.0,Natural,Very small
Ontario,KEN77,50.6293,-94.7292,2018,321.0,Natural,Very small
Ontario,KEN71,50.4015,-95.079,2018,10272.0,Natural,Very small
Ontario,RED82,51.2692,-94.9414,2018,1522.599976,Natural,Very small
Ontario,RED81,51.2584,-94.965,2018,4163.200195,Natural,Very small
Yukon,2018DA008,63.26950001,-138.9715,2018,4411.0,Natural,Very small
Ontario,RED86,51.2923,-94.7834,2018,1552.599976,Natural,Very small
Ontario,RED70,51.593,-94.7027,2018,5477.799805,Natural,Very small
Ontario,SLK67,52.06,-89.7732,2018,765.9000244,Natural,Very small
British Columbia,2018-K21128,50.6802,-120.2309,2018,545.0,Human,Very small
Manitoba,MB2018NE137,58.20083333,-96.81777778,2018,1503.0,Natural,Very small
Manitoba,MB2018NE134,57.79472222,-98.37277778,2018,30642.8,Natural,Small
Manitoba,MB2018NE135,57.41166667,-98.71472222,2018,2755.3,Natural,Very small
Ontario,SLK117,50.8327,-90.2058,2018,520.7999878,Natural,Very small
Saskatchewan,18LA-CLOSE,57.913267,-104.7584,2018,445.5,Natural,Very small
